"PID";"VALUE";"UNITS"
"[BMS] Accumulated normal charging energy";"6432";"kWh"
"[BMS] Accumulated quick charging energy";"1894";"kWh"
"[BMS] Auxiliary Battery Voltage";"14.6";"V"
"[BMS] Available Charge Power";"0";"kW"
"[BMS] Available Discharge Power";"0";"kW"
"[BMS] Battery Cell Voltage Deviation";"0";"V"
"[BMS] Battery Current";"3.5";"A"
"[BMS] Battery DC Voltage";"358.2";"V"
"[BMS] Battery Fan Feedback";"0";"Hz"
"[BMS] Battery Fan speed commanded";"0";"%"
"[BMS] Battery Fan Status";"0";""
"[BMS] Battery Heater 1 Temperature";"17";"℃"
"[BMS] Battery Heater 2 Temperature";"99";"℃"
"[BMS] Battery Inlet Temperature";"17";"℃"
"[BMS] Battery management";"255";""
"[BMS] Battery Max Temperature";"17";"℃"
"[BMS] Battery Min Temperature";"17";"℃"
"[BMS] Battery Module 01 Temperature";"16";"℃"
"[BMS] Battery Module 02 Temperature";"16";"℃"
"[BMS] Battery Module 03 Temperature";"16";"℃"
"[BMS] Battery Module 04 Temperature";"17";"℃"
"[BMS] Battery Power";"0.68058";"kW"
"[BMS] Battery temperature at WCS input";"17";"℃"
"[BMS] Battery temperature PRA";"16";"℃"
"[BMS] Battery work time total (h)";"5832.92833333333";"h"
"[BMS] Battery work time total (sec.)";"20998521";"sec."
"[BMS] BMS Ignition";"1";""
"[BMS] BMS Main Relay";"1";""
"[BMS] CALC Average Battery Module Temperature";"16.25";"℃"
"[BMS] CALC Estimated time 45kW 80% Charge";"26.0266666666667";""
"[BMS] Cell Voltage 01";"3.64";"V"
"[BMS] Cell Voltage 02";"3.64";"V"
"[BMS] Cell Voltage 03";"3.64";"V"
"[BMS] Cell Voltage 04";"3.64";"V"
"[BMS] Cell Voltage 05";"3.64";"V"
"[BMS] Cell Voltage 06";"3.64";"V"
"[BMS] Cell Voltage 07";"3.64";"V"
"[BMS] Cell Voltage 08";"3.64";"V"
"[BMS] Cell Voltage 09";"3.64";"V"
"[BMS] Cell Voltage 10";"3.64";"V"
"[BMS] Cell Voltage 11";"3.64";"V"
"[BMS] Cell Voltage 12";"3.64";"V"
"[BMS] Cell Voltage 13";"3.64";"V"
"[BMS] Cell Voltage 14";"3.64";"V"
"[BMS] Cell Voltage 15";"3.64";"V"
"[BMS] Cell Voltage 16";"3.64";"V"
"[BMS] Cell Voltage 17";"3.64";"V"
"[BMS] Cell Voltage 18";"3.64";"V"
"[BMS] Cell Voltage 19";"3.64";"V"
"[BMS] Cell Voltage 20";"3.64";"V"
"[BMS] Cell Voltage 21";"3.64";"V"
"[BMS] Cell Voltage 22";"3.64";"V"
"[BMS] Cell Voltage 23";"3.64";"V"
"[BMS] Cell Voltage 24";"3.64";"V"
"[BMS] Cell Voltage 25";"3.64";"V"
"[BMS] Cell Voltage 26";"3.64";"V"
"[BMS] Cell Voltage 27";"3.64";"V"
